a,r,b
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:BELONGS_TO_TOPIC],(:Topic {name: Array})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:BELONGS_TO_TOPIC],(:Topic {name: Hash Table})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:BELONGS_TO_TOPIC],(:Topic {name: String})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:HAS_DIFFICULTY],(:Difficulty {level: Easy})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    bool checkIfPangram(string str) {
        int n = str.size();
        vector<int> v(26,0);
        
        for(int i = 0; i < n; i++)
        {
            v[str[i]-'a']++;
        }
        
        for(int i = 0; i < v.size(); i++)
        {
            if(v[i] == 0)
                return false;
        }
    return true;
    }
};, language: C++, approach: Standard})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:HAS_TIME_COMPLEXITY],"(:TimeComplexity {complexity: $O(n)$, explanation: The time complexity is $O(n)$ where 'n' is the length of the input string, because we iterate through the string once to count the characters. The space complexity is $O(1)$ because the vector used for counting has a fixed size of 26, which is constant and does not depend on the input string size.})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:HAS_SPACE_COMPLEXITY],"(:SpaceComplexity {complexity: $O(1)$, explanation: The time complexity is $O(n)$ where 'n' is the length of the input string, because we iterate through the string once to count the characters. The space complexity is $O(1)$ because the vector used for counting has a fixed size of 26, which is constant and does not depend on the input string size.})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""', 'output': '1', 'explanation': 'There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].'}, {'id': 2, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""', 'output': '2', 'explanation': 'There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.'}], topics: [Array, String], problem_statement: You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue.

The ith item is said to match the rule if one of the following is true:
- ruleKey == ""type"" and ruleValue == typei.
- ruleKey == ""color"" and ruleValue == colori.
- ruleKey == ""name"" and ruleValue == namei.

Return the number of items that match the given rule., title: Count Items Matching a Rule, constraints: [1 <= items.length <= 10^4, 1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10, ruleKey is equal to either ""type"", ""color"", or ""name""., All strings consist only of lowercase letters.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: String}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""', 'output': '1', 'explanation': 'There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].'}, {'id': 2, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""', 'output': '2', 'explanation': 'There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.'}], topics: [Array, String], problem_statement: You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue.

The ith item is said to match the rule if one of the following is true:
- ruleKey == ""type"" and ruleValue == typei.
- ruleKey == ""color"" and ruleValue == colori.
- ruleKey == ""name"" and ruleValue == namei.

Return the number of items that match the given rule., title: Count Items Matching a Rule, constraints: [1 <= items.length <= 10^4, 1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10, ruleKey is equal to either ""type"", ""color"", or ""name""., All strings consist only of lowercase letters.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'nums = [0,1,2,3,4], index = [0,1,2,2,1]', 'output': '[0,4,1,3,2]', 'explanation': 'nums       index     target\n0            0        [0]\n1            1        [0,1]\n2            2        [0,1,2]\n3            2        [0,1,3,2]\n4            1        [0,4,1,3,2]'}, {'id': 2, 'input': 'nums = [1,2,3,4,0], index = [0,1,2,3,0]', 'output': '[0,1,2,3,4]', 'explanation': 'nums       index     target\n1            0        [1]\n2            1        [1,2]\n3            2        [1,2,3]\n4            3        [1,2,3,4]\n0            0        [0,1,2,3,4]'}, {'id': 3, 'input': 'nums = [1], index = [0]', 'output': '[1]', 'explanation': None}], topics: [Array, Simulation], problem_statement: Given two arrays of integers nums and index. Your task is to create target array under the following rules:
- Initially target array is empty.
- From left to right read nums[i] and index[i], insert at index index[i] the value nums[i] in target array.
- Repeat the previous step until there are no elements to read in nums and index.
Return the target array.
It is guaranteed that the insertion operations will be valid., title: Create Target Array in the Given Order, constraints: [1 <= nums.length, index.length <= 100, nums.length == index.length, 0 <= nums[i] <= 100, 0 <= index[i] <= i]})"
